sentence,tag1,tag2,tag3,section,notes
"Since the playtime data is continuous, the data follows a normal distribution since the size of the sample of players is greater than or equal to 30, the players can be picked at random, and the population standard deviation is known, the z test is justifiable to use",MethJust,,,RS,
"With the z test we get a test statistic of z=1.4867, and the the p value of this statistic is 0.9314, which is nearly 1",ResDesc,,,RS,
"Since the p value is nearly 1, that in turn means for all our reasonable alpha significance levels, we do not reject the null hypothesis",ResDesc,,,RS,
"In context, this means we do not find sufficient evidence that the average playtime of players in the 2010 world cup is less than 200 minutes",IntVar,,,RS,
Our next research question is to look into whether mean playtime of players is associated with the position of the player,RQdef,,,RS,
"Since it is likely that different positions of players cause players to have different playtimes, it seems relatively sensible to hypothesize that there will be different mean playtimes based on the position a player plays",HypDef,HypJust,,RS,
"We will first analyze playtime by each of the positions played, and this analysis is shown in the table below",RQdef,Struct,,RS,?
From the table above we are able to see that there is a decent amount of variation of the playtime across the different positions,ResDesc,,,RS,
Goalkeeper seems to have the most playtime while Midfielder and Forward seem to have the least amount of playtime,ResDesc,,,RS,
"Next, we will analyze the playtime of players by position graphically with side by side box plots, seen in the box plots below",MethDef,,,RS,
"To formally test the question of whether mean playtime differs by position, we will use ANOVA (analysis of variance)",MethDef,,,RS,
"We use ANOVA with the null hypothesis that the mean playtime is the same across all positions, hence we will test the hypotheses",HypDef,,,RS,
MU is the true mean playtime for each of the positions,HypDef,,,RS,
"Also, we can use the ANOVA test in this case because since the group sizes( number of players at each position) are relatively large, i.e., greater than 30, with the smallest group size being 36",MethJust,DataDesc,,RS,?
Also the data was gathered using randomization and the standard deviations are within a factor of 2,MethJust,,,RS,
So the use of ANOVA is justified,MethJust,,,RS,
"When we run ANOVA, the test outputs a test statistic of F= 15.7301, with a corresponding p value of 0",ResDesc,,,RS,
"Since the P value is 0, this is less than any reasonable significance level, which means we reject the null hypothesis and conclude that there is sufficient evidence that the mean playtime in the World Cup differs by position",IntVar,,,RS,
Our next research question is to look into whether mean total passes of players is associated with the position of the player,RQDef,,,RS,
"Since it is likely that different positions of players cause the players to have different roles on the field, i.e some positions pass the ball more than others, it seems relatively sensible to hypothesize that there will be different mean total passes based on the position a player plays",HypDef,HypJust,,RS,
"We will first analyze total passes by each of the positions played, and this analysis is shown in the table below",RQDef,Struct,,RS,?
From the table above we are able to see that there is a decent amount of variation of total passes across the different positions,ResDesc,,,RS,
Defender seems to have the most total passes while Goalkeeper and Forward seem to have the least amount of total passes,ResDesc,,,RS,
"Next, we will analyze the total passes of players by position graphically with side by side box plots, seen in the box plots below",MethDef,,,RS,
"To formally test the question of whether mean total passes differs by position, we will use ANOVA (analysis of variance)",MethDef,,,RS,
"We use ANOVA with the null hypothesis that the mean total passes is the same across all positions, hence we will test the hypotheses",HypDef,,,RS,
MU is the true mean total passes for each of the positions,HypDef,,,RS,
"Also, we can use the ANOVA test in this case because since the group sizes( number of players at each position) are relatively large, i.e., greater than 30, with the smallest group size being 36",MethJust,,,RS,
"Furthermore, the data was gathered using randomization and the standard deviations are relatively within a factor of 2",MethJust,,,RS,
"Thus, the use of ANOVA is justified",MethJust,,,RS,
"When we run ANOVA, the test outputs a test statistic of F= 16.8992, with a corresponding p value of 0",ResDesc,,,RS,
"Since the P value is 0, this is less than any reasonable significance level, which means we reject the null hypothesis and conclude that there is sufficient evidence that the mean total passes in the World Cup differs by position",IntVar,,,RS,
"In this report, our analysis mainly focused on the playing time of 595 players who participated in the 2010 World Cup",DataDesc,,,Discuss,
"We first examined what the true mean playing time of majority of the players was, and then we examined the potential relationships between position and playing time, and position and total passes",RQDef,,,Discuss,
"Overall, we discovered that players have a large range of playtime, with majority of the playtime being from 0 to 300 minutes",ResDesc,,,Discuss,
"We found that there is a strong relationship between position and playtime, due to each position having varying means of playing times",IntVar,,,Discuss,
"Moreover, we found that there is a strong relationship between position and total passes, due to varying means of total passes based on the position being played",IntVar,,,Discuss,
"Further analysis could be conducted with the variable of Team as well, to investigate whether there is a relationship between Team and playtime, and team and total passes",FuWork,,,Discuss,LimAna?
We could expect these variables to vary based on the different coaching styles of each team,FuWork,,,Discuss,LimAna?
Some limitations to our report is the limited amount of data to analyze,LimData,,,Discuss,
It’s hard to make concrete conclusions about the World Cup in general with analysis of data only from the 2010 World Cup,LimData,,,Discuss,
"But with more data from multiple World Cups, the analysis and conclusions can be more reasonably generalized to the World Cup in general",LimData,,,Discuss,
"Overall, our analysis can help viewers and fans of soccers better understand the game of soccer during the world cup",RQSig,,,Discuss,
"Like how long is a player on the field on average during the World Cup, how often each position is supposed to pass the ball on average in the World Cup, and how much time each position is supposed to play on average in the World Cup",RQSig,,,Discuss,
